,name,club,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,new_foreign,age_cat,club_id,big_club,new_signing
1,Alexis Sanchez,Arsenal,28,LW,Attacker,65,4329,12,17.1,264,Americas,Chile,0,4,1,1,0
2,Mesut Ozil,Arsenal,28,AM,Attacker,50,4395,9.5,5.6,167,EU,Germany,0,4,1,1,0
3,Petr Cech,Arsenal,35,GK,Goalkeeper,7,1529,5.5,5.9,134,EU,Czech Republic,0,6,1,1,0
4,Theo Walcott,Arsenal,28,RW,Attacker,20,2393,7.5,1.5,122,United Kingdom,United Kingdom,0,4,1,1,0
5,Laurent Koscielny,Arsenal,31,CB,Defence,22,912,6,0.7,121,EU,France,0,4,1,1,0
6,Hector Bellerin,Arsenal,22,RB,Defence,30,1675,6,13.7,119,EU,Spain,0,2,1,1,0
7,Olivier Giroud,Arsenal,30,CF,Attacker,22,2230,8.5,2.5,116,EU,France,0,4,1,1,0
8,Nacho Monreal,Arsenal,31,LB,Defence,13,555,5.5,4.7,115,EU,Spain,0,4,1,1,0
9,Shkodran Mustafi,Arsenal,25,CB,Defence,30,1877,5.5,4,90,EU,Germany,0,3,1,1,1
10,Alex Iwobi,Arsenal,21,LW,Attacker,10,1812,5.5,1,89,RoW,Nigeria,0,1,1,1,0
11,Granit Xhaka,Arsenal,24,DM,Midfield,35,1815,5.5,2,85,EU,Switzerland,0,2,1,1,0
12,Alex Oxlade-Chamberlain,Arsenal,23,RM,Midfield,22,1519,6,1.8,83,United Kingdom,United Kingdom,0,2,1,1,0
13,Jack Wilshere,Arsenal,25,CM,Midfield,18,1759,5.5,0,61,United Kingdom,United Kingdom,0,3,1,1,0
14,Aaron Ramsey,Arsenal,26,CM,Midfield,35,1040,7,5.1,56,United Kingdom,United Kingdom,0,3,1,1,0
15,Francis Coquelin,Arsenal,26,DM,Midfield,15,549,4.5,1.7,52,EU,France,0,3,1,1,0
16,Gabriel Paulista,Arsenal,26,CB,Defence,13,552,5,0.1,45,Americas,Brazil,0,3,1,1,0
17,Kieran Gibbs,Arsenal,27,LB,Defence,10,489,5,0.5,45,United Kingdom,United Kingdom,0,3,1,1,0
18,Santi Cazorla,Arsenal,32,CM,Midfield,12,943,7,0.1,38,EU,Spain,0,5,1,1,0
19,Danny Welbeck,Arsenal,26,CF,Attacker,15,1521,7.5,0.5,37,United Kingdom,United Kingdom,0,3,1,1,0
20,Rob Holding,Arsenal,21,CB,Defence,7,666,5,1.7,32,United Kingdom,United Kingdom,0,1,1,1,1
21,Mohamed Elneny,Arsenal,25,DM,Midfield,10,683,4.5,0.8,26,RoW,Egypt,0,3,1,1,0
22,Lucas Perez,Arsenal,28,CF,Attacker,15,2055,7.5,0.1,20,EU,Spain,0,4,1,1,1
23,Emiliano Martinez,Arsenal,24,GK,Goalkeeper,1,372,4,4.2,8,Americas,Argentina,0,2,1,1,0
24,David Ospina,Arsenal,28,GK,Goalkeeper,7,544,5,0.2,2,Americas,Colombia,0,4,1,1,0
25,Carl Jenkinson,Arsenal,25,RB,Defence,5,561,4.5,0.4,2,United Kingdom,United Kingdom,0,3,1,1,0
26,Per Mertesacker,Arsenal,32,CB,Defence,6,702,5,1,1,EU,Germany,0,5,1,1,0
27,Sead Kolasinac,Arsenal,24,LB,Defence,15,618,6,6.9,0,EU,Bosnia,1,2,1,1,0
28,Alexandre Lacazette,Arsenal,26,CF,Attacker,40,1183,10.5,26.5,0,EU,France,1,3,1,1,0
29,Joshua King,Bournemouth,25,SS,Attacker,8,997,7.5,10.4,178,EU,Norway,0,3,2,0,0
30,Jermain Defoe,Bournemouth,34,CF,Attacker,5,3213,8,15,166,United Kingdom,United Kingdom,0,6,2,0,0
